,SPID,VisitDate,# Paper,% Paper,# Plastic,% Plastic
222,16017,2019-01-03 10:49:51,3,0.83,0,0.0
223,16135,2019-01-03 10:58:39,0,0.0,1,0.75
224,15788,2019-01-03 11:03:17,3,1.0,0,0.0
226,16190,2019-01-03 11:13:10,3,1.0,0,0.0
232,15849,2019-01-03 12:40:30,5,1.0,0,0.0
233,16731,2019-01-03 12:57:01,2,1.0,0,0.0
234,16192,2019-01-03 13:10:32,4,1.0,0,0.0
235,7444,2019-01-03 13:19:47,2,1.0,0,0.0
236,16299,2019-01-03 13:37:28,5,0.75,0,0.0
237,16059,2019-01-03 13:49:26,4,0.75,0,0.0
238,14419,2019-01-03 15:42:14,0,0.0,2,1.0
239,15977,2019-01-03 15:51:57,0,0.0,2,1.0
240,16473,2019-01-03 16:06:23,0,0.0,2,1.0
241,10914,2019-01-03 16:17:27,0,0.0,5,0.75
242,16273,2019-01-03 16:28:08,0,0.0,2,1.0
243,16070,2019-01-03 16:38:49,0,0.0,2,1.0
244,12462,2019-01-03 16:53:06,0,0.0,1,1.0
245,15818,2019-01-03 17:09:26,0,0.0,2,1.0
246,15796,2019-01-03 17:29:33,0,0.0,2,1.1
247,15930,2019-01-03 17:40:38,0,0.0,2,0.75
248,15900,2019-01-03 17:51:30,0,0.0,2,0.75
249,15816,2019-01-03 17:59:45,0,0.0,2,0.75
250,15788,2019-01-03 18:09:06,0,0.0,2,0.75
251,16190,2019-01-03 18:18:10,0,0.0,2,1.0
252,15849,2019-01-03 18:32:05,0,0.0,2,1.0
253,16731,2019-01-03 18:39:05,0,0.0,1,0.75
254,16192,2019-01-03 18:44:13,0,0.0,1,1.1
255,7444,2019-01-03 18:55:16,0,0.0,2,0.75
256,16299,2019-01-03 19:06:57,0,0.0,5,1.0
257,16059,2019-01-03 19:22:38,0,0.0,3,1.0
258,15801,2019-01-04 06:12:44,3,1.0,0,0.0
259,14419,2019-01-04 07:35:50,0,0.0,2,0.5
260,14419,2019-01-04 07:45:22,3,1.03,0,0.0
261,15977,2019-01-04 07:55:10,0,0.0,2,0.5
262,16473,2019-01-04 08:03:56,3,1.0,0,0.0
263,15818,2019-01-04 08:04:52,0,0.0,2,0.5
264,10914,2019-01-04 08:15:06,5,1.0,0,0.0
265,16473,2019-01-04 08:20:08,0,0.0,2,0.5
266,16273,2019-01-04 08:26:25,4,1.0,0,0.0
267,16070,2019-01-04 08:35:36,2,1.0,0,0.0
268,10912,2019-01-04 08:40:30,1,0.75,0,0.0
269,16273,2019-01-04 08:43:40,0,0.0,2,0.25
270,12462,2019-01-04 08:50:56,2,1.0,0,0.0
271,16070,2019-01-04 08:52:34,0,0.0,2,0.5
272,10912,2019-01-04 08:56:56,0,0.0,1,0.25
273,12462,2019-01-04 09:04:41,0,0.0,1,0.25
274,15977,2019-01-04 09:07:37,6,1.0,0,0.0
275,15796,2019-01-04 09:20:57,0,0.0,2,0.5
276,15818,2019-01-04 09:22:02,3,1.0,0,0.0
277,15818,2019-01-04 09:23:49,3,1.0,0,0.0
278,16161,2019-01-04 09:58:21,3,0.75,2,0.38
279,15796,2019-01-04 10:00:32,5,1.0,0,0.0
280,16254,2019-01-04 10:05:38,2,1.0,2,1.0
281,16166,2019-01-04 10:14:20,2,1.0,0,0.0
282,15930,2019-01-04 10:17:33,3,1.0,0,0.0
283,15930,2019-01-04 10:18:22,0,0.0,2,0.5
284,15372,2019-01-04 10:24:14,2,1.0,1,1.0
285,15900,2019-01-04 10:30:02,0,0.0,2,0.38
286,15816,2019-01-04 10:35:06,0,0.0,2,0.38
287,16462,2019-01-04 10:36:56,2,1.0,1,1.0
288,15900,2019-01-04 10:37:23,5,1.0,0,0.0
289,15788,2019-01-04 10:42:25,0,0.0,2,0.5
290,10377,2019-01-04 10:46:58,2,1.0,1,1.0
291,15816,2019-01-04 10:48:40,3,1.0,0,0.0
292,16190,2019-01-04 10:53:23,0,0.0,2,0.38
293,15788,2019-01-04 10:55:38,3,0.92,0,0.0
294,15373,2019-01-04 10:56:23,3,0.75,2,0.75
295,15849,2019-01-04 11:05:34,0,0.0,2,0.5
296,10375,2019-01-04 11:07:56,3,1.0,2,1.0
297,16190,2019-01-04 11:12:37,3,1.03,0,0.0
298,16731,2019-01-04 11:21:55,0,0.0,1,0.5
299,15479,2019-01-04 11:26:20,3,1.0,2,0.88
300,15849,2019-01-04 11:34:45,5,0.95,0,0.0
301,16192,2019-01-04 11:35:15,0,0.0,1,0.5
302,10374,2019-01-04 11:39:53,3,1.0,2,0.5
303,7444,2019-01-04 11:43:39,0,0.0,2,0.38
304,16731,2019-01-04 11:50:16,2,1.0,0,0.0
305,16980,2019-01-04 11:50:49,2,1.0,2,1.0
306,16299,2019-01-04 11:55:56,0,0.0,5,0.25
307,16192,2019-01-04 12:06:52,4,1.0,0,0.0
308,16171,2019-01-04 12:10:02,2,0.75,1,0.75
309,16059,2019-01-04 12:11:04,0,0.0,3,0.5
310,9939,2019-01-04 12:13:40,2,0.75,1,0.75
311,7444,2019-01-04 12:19:05,2,1.0,0,0.0
312,12854,2019-01-04 12:19:06,2,0.75,0,0.0
313,16299,2019-01-04 12:24:45,4,1.0,0,0.0
314,16135,2019-01-04 12:26:29,2,0.75,0,0.0
315,16158,2019-01-04 12:34:43,0,0.0,2,0.5
316,16017,2019-01-04 12:37:46,0,0.0,2,0.5
317,16168,2019-01-04 12:44:46,2,1.0,2,0.75
318,16059,2019-01-04 12:45:41,4,1.0,0,0.0
319,16165,2019-01-04 12:51:49,2,1.0,1,1.0
320,16170,2019-01-04 12:53:59,0,0.0,2,0.5
321,9942,2019-01-04 12:59:23,1,1.1,1,1.0
322,16352,2019-01-04 13:01:51,0,0.0,1,0.5
323,16351,2019-01-04 13:06:59,1,1.0,1,1.0
324,16084,2019-01-04 13:13:04,0,0.0,1,0.5
325,16105,2019-01-04 13:22:08,2,1.0,2,0.5
326,16163,2019-01-04 13:27:58,2,0.75,1,0.5
327,9935,2019-01-04 13:29:09,0,0.0,1,0.5
328,16106,2019-01-04 13:36:12,3,0.75,0,0.0
329,16158,2019-01-04 13:43:39,3,1.0,2,0.5
330,16136,2019-01-04 13:45:57,0,0.0,1,0.5
331,16159,2019-01-04 13:59:26,0,0.0,1,0.5
332,16131,2019-01-04 14:09:38,0,0.0,1,0.5
333,16164,2019-01-04 14:20:41,0,0.0,1,0.5
334,16162,2019-01-04 15:02:48,0,0.0,2,0.5
335,16905,2019-01-04 15:09:28,0,0.0,1,0.5
336,15977,2019-01-04 16:26:17,6,0.5,0,0.0
337,15818,2019-01-04 16:37:45,3,0.5,0,0.0
338,10914,2019-01-04 16:54:29,5,0.5,0,0.0
339,16070,2019-01-04 17:05:56,2,0.5,0,0.0
340,15796,2019-01-04 17:24:25,5,0.5,0,0.0
341,16190,2019-01-04 17:38:09,3,0.5,0,0.0
342,16192,2019-01-04 17:51:07,4,0.5,0,0.0
343,7444,2019-01-04 18:00:35,2,0.5,0,0.0
344,16299,2019-01-04 18:09:21,5,0.5,0,0.0
345,16059,2019-01-04 18:20:19,4,0.5,0,0.0
346,16158,2019-01-04 18:55:37,2,1.0,0,0.0
347,16170,2019-01-04 19:12:39,3,1.0,0,0.0
348,16352,2019-01-04 19:19:49,2,1.0,0,0.0
349,16084,2019-01-04 19:36:00,2,1.0,0,0.0
350,9935,2019-01-04 19:47:46,3,1.0,0,0.0
351,16136,2019-01-04 20:00:33,1,1.0,0,0.0
352,16159,2019-01-04 20:09:04,2,1.0,0,0.0
353,16131,2019-01-04 20:17:11,2,1.0,0,0.0
354,16164,2019-01-04 20:24:48,3,1.0,0,0.0
355,16162,2019-01-04 20:29:10,2,1.0,0,0.0
356,16905,2019-01-04 20:35:58,2,1.0,0,0.0
357,16473,2019-01-04 20:58:34,2,1.0,0,0.0
358,16980,2019-01-05 07:39:47,2,1.0,0,0.0
359,15801,2019-01-05 07:50:00,3,1.0,0,0.0
360,16371,2019-01-05 08:03:51,2,1.0,0,0.0
361,16131,2019-01-05 08:09:40,0,0.0,1,0.4
362,10377,2019-01-05 08:15:42,2,1.0,0,0.0
363,16084,2019-01-05 08:20:38,0,0.0,1,0.2
364,16352,2019-01-05 08:25:35,0,0.0,1,0.2
365,16169,2019-01-05 08:32:53,2,1.0,0,0.0
366,9959,2019-01-05 08:40:25,0,0.0,1,0.4
367,16254,2019-01-05 08:41:39,2,1.0,0,0.0
368,15880,2019-01-05 08:54:13,3,1.0,0,0.0
369,16160,2019-01-05 08:55:27,0,0.0,1,0.4
370,12854,2019-01-05 09:04:15,0,0.0,1,0.4
371,16164,2019-01-05 09:06:05,3,1.0,0,0.0
372,16980,2019-01-05 09:11:52,0,0.0,2,0.3
373,16905,2019-01-05 09:14:01,2,1.0,0,0.0
374,16371,2019-01-05 09:20:16,0,0.0,1,0.4
375,16131,2019-01-05 09:25:46,2,1.0,0,0.0
376,16134,2019-01-05 09:34:14,1,1.0,0,0.0
377,16136,2019-01-05 09:44:09,1,1.0,0,0.0
378,10375,2019-01-05 09:44:47,0,0.0,2,0.3
379,10375,2019-01-05 09:49:00,0,0.0,2,0.3
380,16159,2019-01-05 09:51:28,2,1.0,0,0.0
381,15377,2019-01-05 09:56:48,0,0.0,1,0.6
382,14419,2019-01-05 09:58:31,3,1.0,0,0.0
383,9935,2019-01-05 10:03:02,3,1.0,0,0.0
384,10377,2019-01-05 10:06:30,0,0.0,1,0.6
385,16133,2019-01-05 10:17:24,0,0.0,2,0.5
386,16084,2019-01-05 10:20:34,3,1.0,0,0.0
387,15977,2019-01-05 10:31:55,6,1.1,0,0.0
388,16352,2019-01-05 10:32:14,2,1.0,0,0.0
389,9942,2019-01-05 10:36:04,0,0.0,1,0.4
390,15818,2019-01-05 10:36:57,3,1.0,0,0.0
391,16351,2019-01-05 10:44:47,0,0.0,1,0.6
392,16473,2019-01-05 10:46:39,3,1.0,0,0.0
393,16170,2019-01-05 10:49:57,4,1.0,0,0.0
394,10914,2019-01-05 10:51:13,5,1.0,0,0.0
395,9959,2019-01-05 10:57:43,3,1.0,0,0.0
396,16273,2019-01-05 10:58:10,4,1.0,0,0.0
397,16070,2019-01-05 11:03:52,2,1.0,0,0.0
398,10912,2019-01-05 11:06:22,1,1.0,0,0.0
399,16106,2019-01-05 11:06:30,3,1.0,0,0.0
400,16163,2019-01-05 11:10:56,2,1.0,0,0.0
401,14419,2019-01-05 11:12:01,0,0.0,2,0.8
402,15977,2019-01-05 11:18:28,0,0.0,2,0.7
403,12462,2019-01-05 11:19:29,2,1.0,0,0.0
404,15796,2019-01-05 11:42:46,5,1.0,0,0.0
405,16473,2019-01-05 11:59:56,0,0.0,2,0.5
406,15930,2019-01-05 12:04:04,3,1.0,0,0.0
407,9942,2019-01-05 12:14:39,1,1.0,0,0.0
408,10914,2019-01-05 12:16:22,0,0.0,5,0.48
409,15900,2019-01-05 12:18:06,5,1.0,0,0.0
410,16351,2019-01-05 12:22:13,1,1.0,0,0.0
411,15816,2019-01-05 12:29:54,3,1.0,0,0.0
412,16059,2019-01-05 12:35:21,4,1.0,0,0.0
413,16070,2019-01-05 12:43:16,0,0.0,2,0.4
414,16299,2019-01-05 12:45:23,5,1.0,0,0.0
415,10912,2019-01-05 12:51:52,0,0.0,1,0.6
416,15788,2019-01-05 12:53:14,3,1.0,0,0.0
417,7444,2019-01-05 12:54:26,2,1.0,0,0.0
418,12462,2019-01-05 13:00:22,0,0.0,1,0.6
419,16192,2019-01-05 13:09:25,4,1.0,0,0.0
420,16731,2019-01-05 13:28:59,2,1.0,0,0.0
421,15818,2019-01-05 13:33:02,0,0.0,2,0.7
422,16190,2019-01-05 13:48:42,3,1.0,0,0.0
423,15849,2019-01-05 14:07:24,5,1.0,0,0.0
424,14419,2019-01-05 14:45:58,3,1.0,0,0.0
425,15796,2019-01-05 14:53:53,0,0.0,1,1.1
426,15796,2019-01-05 14:54:28,0,0.0,1,1.1
427,15977,2019-01-05 14:56:50,6,1.0,0,0.0
428,15818,2019-01-05 15:07:15,3,1.0,0,0.0
429,15930,2019-01-05 15:12:50,0,0.0,2,0.5
430,16473,2019-01-05 15:22:55,3,1.0,0,0.0
431,15900,2019-01-05 15:29:16,0,0.0,2,0.9
432,16162,2019-01-05 15:30:46,2,1.1,0,0.0
433,10914,2019-01-05 15:32:54,5,1.0,0,0.0
434,16070,2019-01-05 15:46:08,2,1.0,0,0.0
435,16135,2019-01-05 15:46:28,2,1.0,0,0.0
436,16192,2019-01-05 15:47:11,0,0.0,1,1.0
437,15930,2019-01-05 15:52:34,3,0.75,0,0.0
438,9960,2019-01-05 15:56:16,2,1.0,0,0.0
439,15900,2019-01-05 16:03:24,5,0.75,0,0.0
440,16731,2019-01-05 16:04:33,0,0.0,1,0.8
441,16017,2019-01-05 16:05:36,2,1.0,0,0.0
442,9942,2019-01-05 16:11:37,1,0.75,0,0.0
443,16351,2019-01-05 16:17:14,1,0.75,0,0.0
444,15796,2019-01-05 16:19:21,5,1.0,0,0.0
445,16190,2019-01-05 16:25:31,0,0.0,2,0.9
446,12854,2019-01-05 16:27:54,2,1.0,0,0.0
447,16190,2019-01-05 16:31:50,3,1.0,0,0.0
448,16160,2019-01-05 16:33:59,2,1.0,0,0.0
449,15801,2019-01-05 16:44:49,3,1.0,0,0.0
450,15816,2019-01-05 16:45:39,0,0.0,2,0.5
451,15849,2019-01-05 16:48:48,5,1.0,0,0.0
452,16980,2019-01-05 16:52:49,2,1.0,0,0.0
453,15788,2019-01-05 16:58:53,0,0.0,2,0.7
454,16106,2019-01-05 17:02:16,3,0.75,0,0.0
455,16731,2019-01-05 17:04:18,2,1.0,0,0.0
456,15849,2019-01-05 17:11:26,0,0.0,2,0.8
457,16192,2019-01-05 17:17:24,4,0.75,0,0.0
458,16133,2019-01-05 17:27:40,4,1.1,0,0.0
459,7444,2019-01-05 17:28:17,2,1.0,0,0.0
460,7444,2019-01-05 17:37:23,0,0.0,2,0.7
461,16299,2019-01-05 17:41:11,5,1.0,0,0.0
462,16170,2019-01-05 17:41:59,4,1.0,0,0.0
463,16299,2019-01-05 17:51:04,0,0.0,4,0.35
464,16059,2019-01-05 17:59:52,4,1.0,0,0.0
465,16131,2019-01-05 18:00:28,2,1.0,0,0.0
466,16084,2019-01-05 18:10:03,3,0.83,0,0.0
467,16059,2019-01-05 18:10:18,0,0.0,2,0.8
468,16162,2019-01-05 18:22:31,2,0.5,0,0.0
469,15796,2019-01-05 18:31:35,0,0.0,2,0.5
470,16192,2019-01-05 18:53:07,0,0.0,1,0.4
471,15479,2019-01-06 07:17:50,3,1.0,0,0.0
472,16980,2019-01-06 07:31:11,2,0.75,0,0.0
473,10377,2019-01-06 07:44:43,2,1.0,0,0.0
474,15373,2019-01-06 08:00:42,3,1.1,0,0.0
475,15880,2019-01-06 08:11:22,0,0.0,1,0.6
476,10374,2019-01-06 08:12:16,3,1.0,0,0.0
477,16164,2019-01-06 08:20:57,0,0.0,1,0.6
478,15377,2019-01-06 08:27:17,2,1.0,0,0.0
479,10375,2019-01-06 08:36:15,3,1.0,0,0.0
480,16162,2019-01-06 08:37:55,0,0.0,2,0.5
481,16905,2019-01-06 08:45:00,0,0.0,1,0.4
482,16131,2019-01-06 08:50:48,0,0.0,1,0.6
483,16462,2019-01-06 08:52:35,2,1.0,0,0.0
484,15880,2019-01-06 09:01:13,3,1.0,0,0.0
